"","title","author","subject","abstract","meta"
"27","Finding the Fairest Voting System using Likelihood Analysis","Virochan Pandit (1), Joseph Cutrone (1) ((1) The Johns Hopkins University)","Physics and Society (physics.soc-ph)","Abstract:A crucial aspect of democracy is the notion of free and fair elections. While much attention has been placed on factors such as voter turnout and the quality of the candidates, the voting system used in an election is just as consequential in determining the winner. In Social Choice Theory, voting systems are evaluated based on whether or not they violate fairness criteria. Arrow's Impossibility Theorem states that no voting method can jointly satisfy five fairness criteria: unanimity, transitivity, independence of irrelevant alternatives, unrestricted domain, and non-dictatorship. However, voting systems are not equally likely to violate criteria. This paper takes a statistical approach to determine which of 12 voting systems is the fairest based on their probabilistic likelihood of violating nine social choice criteria. The criteria include Arrow's five conditions, the Condorcet winner and loser criteria, the majority criteria, and citizen sovereignty. Elections with up to 10 million voters and between three and six candidates are simulated using Impartial Culture and Impartial Anonymous Culture. We first compute the frequencies with which voting systems violate individual criteria and then compute Joint Satisfaction frequencies, the likelihood that a voting system jointly satisfies all nine criteria. We find that Pairwise Majority is the most likely to jointly satisfy the nine conditions, but increasingly violates transitivity as the number of candidates increases. Of the systems that satisfy transitivity, the Baldwin method has the highest Joint Satisfaction frequency in elections with three candidates. As the number of candidates increase, the Joint Satisfaction frequencies decrease rapidly for all systems.","Wed, 22 Nov 2023 03:55:09 UTC (701 KB)"
"28","Navigating information and uncertainty: A fuzzy logic model to approach transparency, democracy and social wellbeing","Carlos Medel-Ramírez, Hilario Medel-López, Jennifer Lara-Mérida","Computers and Society (cs.CY)","Abstract:In the digital age of information overload and uncertainty, the authors propose the tDTSW model based on fuzzy logic to navigate governance complexities. This model transcends binary thinking, analyzes democracy, transparency, and social well-being, highlighting their roles in just societies through case studies. It addresses challenges like capitalism, sustainability, gender equality, and education in modern democracies, emphasizing their interplay for positive change. ""Navigating Information and Uncertainty"" introduces fuzzy logic, offering a structured approach. It calls for collective efforts to create equitable, sustainable, and just societies, inviting readers to shape a brighter future.","Tue, 7 Nov 2023 23:54:32 UTC (4,577 KB)"
"29","Steering Responsible AI: A Case for Algorithmic Pluralism","Stefaan G. Verhulst","Artificial Intelligence (cs.AI)","Abstract:In this paper, I examine questions surrounding AI neutrality through the prism of existing literature and scholarship about mediation and media pluralism. Such traditions, I argue, provide a valuable theoretical framework for how we should approach the (likely) impending era of AI mediation. In particular, I suggest examining further the notion of algorithmic pluralism. Contrasting this notion to the dominant idea of algorithmic transparency, I seek to describe what algorithmic pluralism may be, and present both its opportunities and challenges. Implemented thoughtfully and responsibly, I argue, Algorithmic or AI pluralism has the potential to sustain the diversity, multiplicity, and inclusiveness that are so vital to democracy.","Mon, 20 Nov 2023 18:45:04 UTC (199 KB)"
"30","Countering Misinformation via Emotional Response Generation","Daniel Russo, Shane Peter Kaszefski-Yaschuk, Jacopo Staiano, Marco Guerini","Computation and Language (cs.CL)","Abstract:The proliferation of misinformation on social media platforms (SMPs) poses a significant danger to public health, social cohesion and ultimately democracy. Previous research has shown how social correction can be an effective way to curb misinformation, by engaging directly in a constructive dialogue with users who spread -- often in good faith -- misleading messages. Although professional fact-checkers are crucial to debunking viral claims, they usually do not engage in conversations on social media. Thereby, significant effort has been made to automate the use of fact-checker material in social correction; however, no previous work has tried to integrate it with the style and pragmatics that are commonly employed in social media communication. To fill this gap, we present VerMouth, the first large-scale dataset comprising roughly 12 thousand claim-response pairs (linked to debunking articles), accounting for both SMP-style and basic emotions, two factors which have a significant role in misinformation credibility and spreading. To collect this dataset we used a technique based on an author-reviewer pipeline, which efficiently combines LLMs and human annotators to obtain high-quality data. We also provide comprehensive experiments showing how models trained on our proposed dataset have significant improvements in terms of output quality and generalization capabilities.","Fri, 17 Nov 2023 15:37:18 UTC (254 KB)"
"31","Key Factors Affecting European Reactions to AI in European Full and Flawed Democracies","Long Pham, Barry O'Sullivan, Tai Tan Mai","Computers and Society (cs.CY)","Abstract:This study examines the key factors that affect European reactions to artificial intelligence (AI) in the context of both full and flawed democracies in Europe. Analysing a dataset of 4,006 respondents, categorised into full democracies and flawed democracies based on the Democracy Index developed by the Economist Intelligence Unit (EIU), this research identifies crucial factors that shape European attitudes toward AI in these two types of democracies. The analysis reveals noteworthy findings. Firstly, it is observed that flawed democracies tend to exhibit higher levels of trust in government entities compared to their counterparts in full democracies. Additionally, individuals residing in flawed democracies demonstrate a more positive attitude toward AI when compared to respondents from full democracies. However, the study finds no significant difference in AI awareness between the two types of democracies, indicating a similar level of general knowledge about AI technologies among European citizens. Moreover, the study reveals that trust in AI measures, specifically ""Trust AI Solution"", does not significantly vary between full and flawed democracies. This suggests that despite the differences in democratic quality, both types of democracies have similar levels of confidence in AI solutions.","Wed, 4 Oct 2023 22:11:28 UTC (120 KB)"
"32","Leveraging Large Language Models to Detect Influence Campaigns in Social Media","Luca Luceri, Eric Boniardi, Emilio Ferrara","Social and Information Networks (cs.SI)","Abstract:Social media influence campaigns pose significant challenges to public discourse and democracy. Traditional detection methods fall short due to the complexity and dynamic nature of social media. Addressing this, we propose a novel detection method using Large Language Models (LLMs) that incorporates both user metadata and network structures. By converting these elements into a text format, our approach effectively processes multilingual content and adapts to the shifting tactics of malicious campaign actors. We validate our model through rigorous testing on multiple datasets, showcasing its superior performance in identifying influence efforts. This research not only offers a powerful tool for detecting campaigns, but also sets the stage for future enhancements to keep up with the fast-paced evolution of social media-based influence tactics.","Tue, 14 Nov 2023 00:25:09 UTC (650 KB)"
"33","Vox Populi, Vox ChatGPT: Large Language Models, Education and Democracy","Niina Zuber, Jan Gogoll","Computers and Society (cs.CY)","Abstract:In the era of generative AI and specifically large language models (LLMs), exemplified by ChatGPT, the intersection of artificial intelligence and human reasoning has become a focal point of global attention. Unlike conventional search engines, LLMs go beyond mere information retrieval, entering into the realm of discourse culture. Its outputs mimic well-considered, independent opinions or statements of facts, presenting a pretense of wisdom. This paper explores the potential transformative impact of LLMs on democratic societies. It delves into the concerns regarding the difficulty in distinguishing ChatGPT-generated texts from human output. The discussion emphasizes the essence of authorship, rooted in the unique human capacity for reason - a quality indispensable for democratic discourse and successful collaboration within free societies. Highlighting the potential threats to democracy, this paper presents three arguments: the Substitution argument, the Authenticity argument, and the Facts argument. These arguments highlight the potential risks that are associated with an overreliance on LLMs. The central thesis posits that widespread deployment of LLMs may adversely affect the fabric of a democracy if not comprehended and addressed proactively and properly. In proposing a solution, we advocate for an emphasis on education as a means to mitigate risks. We suggest cultivating thinking skills in children, fostering coherent thought formulation, and distinguishing between machine-generated output and genuine, i.e. human, reasoning. The focus should be on responsible development and usage of LLMs, with the goal of augmenting human capacities in thinking, deliberating and decision-making rather than substituting them.","Fri, 10 Nov 2023 17:47:46 UTC (217 KB)"
"34","Probabilistic Model Checking of Temporal Interaction Dynamics in the Supreme Court","Susmoy Das, Arpit Sharma","Logic in Computer Science (cs.LO)","Abstract:The Supreme Court plays an extremely critical role in ensuring adherence to the rule of law and in strengthening the democracy. Due to this reason, modeling and analysis of small group interactions in the courtroom setting is an important task as it can help in understanding court decision-making. We apply probabilistic model checking for the modeling and analysis of temporal interaction dynamics in the context of the Supreme Court of the United States. We have used the transcripts of the oral arguments of cases from the Supreme Court for constructing a discrete-time Markov reward model (DTMRM). Next, we formulate interesting queries over interaction by using probabilistic computation tree logic (PCTL) and PCTL with rewards and verify them using a probabilistic symbolic model checker (PRISM). Our experimental results show that probabilistic model checking is very effective in identifying trends, hidden patterns, and how justices behave during the trials. These results not only provide valuable feedback to the justices but may also be used by the advocates and law students for finding better ways to present their arguments in the court.","Thu, 9 Nov 2023 07:28:15 UTC (88 KB)"
"35","Arborescences, Colorful Forests, and Popularity","Telikepalli Kavitha, Kazuhisa Makino, Ildikó Schlotter, Yu Yokoi","Data Structures and Algorithms (cs.DS)","Abstract:Our input is a directed, rooted graph $G = (V \cup \{r\},E)$ where each vertex in $V$ has a partial order preference over its incoming edges. The preferences of a vertex extend naturally to preferences over arborescences rooted at $r$. We seek a popular arborescence in $G$, i.e., one for which there is no ""more popular"" arborescence. Popular arborescences have applications in liquid democracy or collective decision making; however, they need not exist in every input instance. The popular arborescence problem is to decide if a given input instance admits a popular arborescence or not. We show a polynomial-time algorithm for this problem, whose computational complexity was not known previously.
Our algorithm is combinatorial, and can be regarded as a primal-dual algorithm. It searches for an arborescence along with its dual certificate, a chain of subsets of $E$, witnessing its popularity. In fact, our algorithm solves the more general popular common base problem in the intersection of two matroids, where one matroid is the partition matroid defined by any partition $E = \bigcup_{v\in V} \delta(v)$ and the other is an arbitrary matroid on $E$ of rank $|V|$, with each $v \in V$ having a partial order over elements in $\delta(v)$. We extend our algorithm to the case with forced or forbidden edges.
We also study the related popular colorful forest (or more generally, the popular common independent set) problem where edges are partitioned into color classes, and the task is to find a colorful forest that is popular within the set of all colorful forests. For the case with weak rankings, we formulate the popular colorful forest polytope, and thus show that a minimum-cost popular colorful forest can be computed efficiently. By contrast, we prove that it is NP-hard to compute a minimum-cost popular arborescence, even when rankings are strict.","Mon, 30 Oct 2023 11:29:02 UTC (49 KB)"
"36","Unobserved Grouped Heteroskedasticity and Fixed Effects","Jorge A. Rivero","Econometrics (econ.EM)","Abstract:This paper extends the linear grouped fixed effects (GFE) panel model to allow for heteroskedasticity from a discrete latent group variable. Key features of GFE are preserved, such as individuals belonging to one of a finite number of groups and group membership is unrestricted and estimated. Ignoring group heteroskedasticity may lead to poor classification, which is detrimental to finite sample bias and standard errors of estimators. I introduce the ""weighted grouped fixed effects"" (WGFE) estimator that minimizes a weighted average of group sum of squared residuals. I establish $\sqrt{NT}$-consistency and normality under a concept of group separation based on second moments. A test of group homoskedasticity is discussed. A fast computation procedure is provided. Simulations show that WGFE outperforms alternatives that exclude second moment information. I demonstrate this approach by considering the link between income and democracy and the effect of unionization on earnings.","Sat, 21 Oct 2023 17:17:41 UTC (9,875 KB)[v2] Thu, 26 Oct 2023 02:17:36 UTC (9,876 KB)"
"37","Life-Cycle Effects of Comprehensive Sex Education","Volha Lazuka, Annika Elwert","General Economics (econ.GN)","Abstract:Sex education can impact pupils sexual activity and convey the social norms regarding family formation and responsibility, which can have significant consequences to their future. To investigate the life-cycle effects of social norm transmission, this study draws on the introduction of comprehensive sex education in the curriculum of Swedish primary schools during the 1940s to the 1950s. Inspired by social-democratic values, sex education during this period taught students about abstinence, rational family planning choices, and the importance of taking social responsibility for their personal decisions. The study applies a state-of-the-art estimator of the difference-in-differences method to various outcomes of men and women throughout the life cycle. The results show that the reform affected most intended outcomes for men and women, ultimately decreasing gender inequality in earnings. The effects of the reform also extended to the succeeding generation of girls. Both generations created a critical mass that altered social norms in favor of collective engagement and democracy. The findings suggest that social norms, internalized through school-based sex education, persistently affect peoples outcomes in significant ways.","Tue, 17 Oct 2023 11:17:07 UTC (4,347 KB)[v2] Mon, 11 Dec 2023 09:18:52 UTC (4,820 KB)"
"38","HCI in e-Government and e-Democracy","Tianmu Zhu, Wei Xu","Human-Computer Interaction (cs.HC)","Abstract:This chapter introduces the application of HCI design processes and design principles in e-government and e-democracy. We elaborate on HCI design processes and six HCI design principles in the context of e-government and e-democracy, including citizen-centered design, usability, accessibility, access to information, transaction efficiency, and security and privacy. Then, we present two cases to demonstrate the value of applying the HCI processes and design principles in developing and deploying e-government and e-democracy. Finally, we highlight the challenges faced by e-government and e-democracy as well as the future trends. In conclusion, HCI can help the success of e-government and e-democracy and their future growth.","Tue, 17 Oct 2023 04:22:26 UTC (1,418 KB)[v2] Thu, 19 Oct 2023 16:27:10 UTC (1,409 KB)[v3] Sun, 12 Nov 2023 02:31:41 UTC (1,689 KB)"
"39","An Adaptive and Verifiably Proportional Method for Participatory Budgeting","Sonja Kraiczy, Edith Elkind","Computer Science and Game Theory (cs.GT)","Abstract:Participatory Budgeting (PB) is a form of participatory democracy in which citizens select a set of projects to be implemented, subject to a budget constraint. The Method of Equal Shares (MES), introduced in [18], is a simple iterative method for this task, which runs in polynomial time and satisfies a demanding proportionality axiom (Extended Justified Representation) in the setting of approval utilities. However, a downside of MES is that it is non-exhaustive: given an MES outcome, it may be possible to expand it by adding new projects without violating the budget constraint. To complete the outcome, the approach currently used in practice is as follows: given an instance with budget $b$, one searches for a budget $b'\ge b$ such that when MES is executed with budget $b'$, it produces a maximal feasible solution for $b$. The search is greedy, i.e., one has to execute MES from scratch for each value of $b'$. To avoid redundant computation, we introduce a variant of MES, which we call Adaptive Method of Equal Shares (AMES). Our method is budget-adaptive, in the sense that, given an outcome $W$ for a budget $b$ and a new budget $b'>b$, it can compute the outcome $W'$ for budget $b'$ by leveraging similarities between $W$ and $W'$. This eliminates the need to recompute solutions from scratch when increasing virtual budgets. Furthermore, AMES satisfies EJR in a certifiable way: given the output of our method, one can check in time $O(n\log n+mn)$ that it provides EJR (here, $n$ is the number of voters and $m$ is the number of projects). We evaluate the potential of AMES on real-world PB data, showing that small increases in budget typically require only minor modifications of the outcome.","Mon, 16 Oct 2023 09:27:01 UTC (257 KB)"
"40","Compromise in Multilateral Negotiations and the Global Regulation of Artificial Intelligence","Michal Natorski","Computers and Society (cs.CY)","Abstract:As artificial intelligence (AI) technologies spread worldwide, international discussions have increasingly focused on their consequences for democracy, human rights, fundamental freedoms, security, and economic and social development. In this context, UNESCO's Recommendation on the Ethics of Artificial Intelligence, adopted in November 2021, has emerged as the first global normative framework for AI development and deployment. The intense negotiations of every detail of the document brought forth numerous controversies among UNESCO member states. Drawing on a unique set of primary sources, including written positions and recorded deliberations, this paper explains the achievement of global compromise on AI regulation despite the multiplicity of UNESCO member-state positions representing a variety of liberal and sovereignist preferences. Building upon Boltanski's pragmatic sociology, it conceptualises the practice of multilateral negotiations and attributes the multilateral compromise to two embedded therein mechanisms: Structural normative hybridity and situated normative ambiguity allowed to accomplish a compromise by linking macro-normative structures with situated debates of multilateral negotiations.","Fri, 29 Sep 2023 11:46:26 UTC (398 KB)"
"41","Rebellions and Impeachments in a Neural Network Society","Juan Neirotti, Nestor Caticha","Physics and Society (physics.soc-ph)","Abstract:Basede on a study of the modern presidencial democracies in South America, we present a statistical mechanics exploration of the collective, coordinated action of political actors in the legislative chamber that may result on the impeachment of the executive. By representing the legislative political actors with neurla networks, we observed that the larger the effective number of presidential-agenda items are treated, the smaller the chances for a cross-party dialogue, which, if combined with a decrement in the president's public approval rating, could trigger an impeachment process.","Wed, 20 Sep 2023 10:18:17 UTC (637 KB)"
"42","Improving Section 230, Preserving Democracy and Protecting Free Speech","Marshall Van Alstyne, Michael David Smith, Herb Lin","Cryptography and Security (cs.CR)","Abstract:This article proposes a framework for content moderation based on a decentralized market where no one party, neither governments nor firms, controls the flow of information.","Sat, 16 Sep 2023 23:35:27 UTC (1,849 KB)"
"43","Stylish Risk-Limiting Audits in Practice","Amanda K. Glazer, Jacob V. Spertus, Philip B. Stark","Applications (stat.AP)","Abstract:Risk-limiting audits (RLAs) can use information about which ballot cards contain which contests (card-style data, CSD) to ensure that each contest receives adequate scrutiny, without examining more cards than necessary. RLAs using CSD in this way can be substantially more efficient than RLAs that sample indiscriminately from all cast cards. We describe an open-source Python implementation of RLAs using CSD for the Hart InterCivic Verity voting system and the Dominion Democracy Suite(R) voting system. The software is demonstrated using all 181 contests in the 2020 general election and all 214 contests in the 2022 general election in Orange County, CA, USA, the fifth-largest election jurisdiction in the U.S., with over 1.8 million active voters. (Orange County uses the Hart Verity system.) To audit the 181 contests in 2020 to a risk limit of 5% without using CSD would have required a complete hand tally of all 3,094,308 cast ballot cards. With CSD, the estimated sample size is about 20,100 cards, 0.65% of the cards cast--including one tied contest that required a complete hand count. To audit the 214 contests in 2022 to a risk limit of 5% without using CSD would have required a complete hand tally of all 1,989,416 cast cards. With CSD, the estimated sample size is about 62,250 ballots, 3.1% of cards cast--including three contests with margins below 0.1% and 9 with margins below 0.5%.","Sat, 16 Sep 2023 19:21:17 UTC (445 KB)"
"44","Optical momentum distributions in monochromatic, isotropic random vector fields","Titouan Gadeyne, Mark R. Dennis","Optics (physics.optics)","Abstract:We investigate the decomposition of the electromagnetic Poynting momentum density in three-dimensional random monochromatic fields into orbital and spin parts, using analytical and numerical methods. In sharp contrast with the paraxial case, the orbital and spin momenta in isotropic random fields are found to be identically distributed in magnitude, increasing the discrepancy between the Poynting and orbital pictures of energy flow. Spatial correlation functions reveal differences in the generic organization of different optical momenta in complex natural light fields, with the orbital current typically forming broad channels of unidirectional flow, and the spin current manifesting larger vorticity and changing direction over subwavelength distances. These results are extended to random fields with pure helicity, in relation to the inclusion of electric-magnetic democracy in the definition of optical momenta.","Thu, 14 Sep 2023 15:51:09 UTC (855 KB)[v2] Fri, 24 Nov 2023 13:53:26 UTC (855 KB)[v3] Tue, 13 Feb 2024 12:47:45 UTC (5,759 KB)"
"45","The Conundrum of the Pension System in India: A Comprehensive study in the context of India's Growth Story","Aditya Deeti","Portfolio Management (q-fin.PM)","Abstract:India is the largest democracy in the world and has recently surpassed China to be the highest-populated country, with an estimated 1.425 billion (approximately 18% of the world population). Moreover, India's elderly population is projected to increase to 138 million by 2035. Indian economy is already reeling under the pressure of exorbitant pension liabilities of the government for existing pensioners. As such, India has introduced a National Pension System (NPS), which is a Defined Contribution Scheme for employees joining government service on or after 1st January 2004, bidding adieu to the age-old, tried and tested Old Pension System (OPS) which is a Direct Benefit Scheme, in vogue in India since the British Raj. This is an epoch-making move by the government as it seeks to inculcate Disciplined Saving among the people while significantly reducing the government burden by reducing the Pension Liabilities of the Central and State Governments. This paper aims to analyse various features and intricacies of the NPS and address the claims of various stakeholders like the Central Government, State Government, Employees, Pensioners, etc. In light of the above, and taking cognisance of the fact that many states such as Rajasthan, Chattisgarh, Jharkhand, etc, have exited the NPS scheme and have sought back their share of NPS employee and employer contribution, this study is relevant to address the current economic and fiscal issues of India to propel towards the ambitious goal of becoming a $ 5 trillion dollar economy by 2025.
Keywords: Old Pension Scheme (OPS), National Pension System (NPS), Direct Benefit Scheme, Defined Contribution Scheme, Pension Liabilities.","Tue, 12 Sep 2023 16:18:11 UTC (945 KB)"
"46","Improving and Evaluating the Detection of Fragmentation in News Recommendations with the Clustering of News Story Chains","Alessandra Polimeno, Myrthe Reuver, Sanne Vrijenhoek, Antske Fokkens","Computation and Language (cs.CL)","Abstract:News recommender systems play an increasingly influential role in shaping information access within democratic societies. However, tailoring recommendations to users' specific interests can result in the divergence of information streams. Fragmented access to information poses challenges to the integrity of the public sphere, thereby influencing democracy and public discourse. The Fragmentation metric quantifies the degree of fragmentation of information streams in news recommendations. Accurate measurement of this metric requires the application of Natural Language Processing (NLP) to identify distinct news events, stories, or timelines. This paper presents an extensive investigation of various approaches for quantifying Fragmentation in news recommendations. These approaches are evaluated both intrinsically, by measuring performance on news story clustering, and extrinsically, by assessing the Fragmentation scores of different simulated news recommender scenarios. Our findings demonstrate that agglomerative hierarchical clustering coupled with SentenceBERT text representation is substantially better at detecting Fragmentation than earlier implementations. Additionally, the analysis of simulated scenarios yields valuable insights and recommendations for stakeholders concerning the measurement and interpretation of Fragmentation.","Tue, 12 Sep 2023 13:01:20 UTC (213 KB)[v2] Mon, 18 Sep 2023 13:05:08 UTC (119 KB)"
"47","Democracy from topology","Oleg Evnin, Euihun Joung, Karapet Mkrtchyan","High Energy Physics - Theory (hep-th)","Abstract:Chiral form fields in $d$ dimensions can be effectively described as edge modes of topological Chern-Simons theories in $d+1$ dimensions. At the same time, manifestly Lorentz-invariant Lagrangian description of such fields directly in terms of a $d$-dimensional field theory is challenging and requires introducing nontrivial auxiliary gauge fields eliminated on-shell with extra gauge symmetries. A recent work by Arvanitakis et al.\ demonstrates (emphasizing the case of 2d chiral bosons) that the two approaches are related, and a peculiar reduction on the $(d+1)$-dimensional topological Lagrangian automatically leads to $d$-dimensional Lagrangians with appropriate sets of auxiliary fields. We develop this setup in three distinct directions. First, we demonstrate how arbitrary Abelian self-interactions for chiral forms can be included using nonlinear boundary terms in the Chern-Simons theory. Second, by generalizing the Chern-Simons theory to the BF theory, we obtain an analogous democratic description of non-chiral form fields, where electric and magnetic potentials appear as explicit dynamical variables. Third, we discuss the effects of introducing topological interactions in the higher-dimensional bulk, which produce extra interaction terms in the boundary theory. When applied to a topological 4-form field in 12 dimensions, this construction results in a democratic description of the 3-form gauge field of the 11-dimensional supergravity.","Fri, 8 Sep 2023 22:31:56 UTC (20 KB)"
"48","Liquid Democracy in DPoS Blockchains","Chao Li, Runhua Xu, Li Duan","Cryptography and Security (cs.CR)","Abstract:Voting mechanisms play a crucial role in decentralized governance of blockchain systems. Liquid democracy, also known as delegative voting, allows voters to vote directly or delegate their voting power to others, thereby contributing to the resolution of problems such as low voter turnout. In recent years, liquid democracy has been widely adopted by Delegated-Proof-of-Stake (DPoS) blockchains and implemented successfully on platforms with millions of users. However, little is known regarding the characteristics and actual effectiveness of liquid democracy in decentralized governance. This paper explored for the first time the practical implementation of liquid democracy in DPoS blockchain systems. Using actual data collected from two major DPoS blockchains, EOS and Steem, our study compared and evaluated the participation of different types of users of DPoS blockchain systems in liquid democracy, as well as extracting and analyzing the delegation chains and networks formed during the process of liquid democracy within the systems. We believe that the findings of this paper will contribute to further studies on the design and implementation of liquid democracy and other voting mechanisms in decentralized governance.","Sun, 3 Sep 2023 06:04:11 UTC (15,993 KB)"
"49","Cura: Curation at Social Media Scale","Wanrong He, Mitchell L. Gordon, Lindsay Popowski, Michael S. Bernstein","Human-Computer Interaction (cs.HC)","Abstract:How can online communities execute a focused vision for their space? Curation offers one approach, where community leaders manually select content to share with the community. Curation enables leaders to shape a space that matches their taste, norms, and values, but the practice is often intractable at social media scale: curators cannot realistically sift through hundreds or thousands of submissions daily. In this paper, we contribute algorithmic and interface foundations enabling curation at scale, and manifest these foundations in a system called Cura. Our approach draws on the observation that, while curators' attention is limited, other community members' upvotes are plentiful and informative of curators' likely opinions. We thus contribute a transformer-based curation model that predicts whether each curator will upvote a post based on previous community upvotes. Cura applies this curation model to create a feed of content that it predicts the curator would want in the community. Evaluations demonstrate that the curation model accurately estimates opinions of diverse curators, that changing curators for a community results in clearly recognizable shifts in the community's content, and that, consequently, curation can reduce anti-social behavior by half without extra moderation effort. By sampling different types of curators, Cura lowers the threshold to genres of curated social media ranging from editorial groups to stakeholder roundtables to democracies.","Sat, 26 Aug 2023 10:25:05 UTC (3,240 KB)"
"50","Redistricting for Proportionality","Moon Duchin, Gabe Schoenbach","Computers and Society (cs.CY)","Abstract:American democracy is currently heavily reliant on plurality in single-member districts, or PSMD, as a system of election. But public perceptions of fairness are often keyed to partisan proportionality, or the degree of congruence between each party's share of the the vote and its share of representation. PSMD has not tended to secure proportional outcomes historically, partially due to gerrymandering, where line-drawers intentionally extract more advantage for their side. But it is now increasingly clear that even blind PSMD is frequently disproportional, and in unpredictable ways that depend on local political geography. In this paper we consider whether it is feasible to bring PSMD into alignment with a proportionality norm by targeting proportional outcomes in the design and selection of districts. We do this mainly through a close examination of the ""Freedom to Vote Test,"" a redistricting reform proposed in draft legislation in 2021. We find that applying the test with a proportionality target makes for sound policy: it performs well in legal battleground states and has a workable exception to handle edge cases where proportionality is out of reach.","Tue, 22 Aug 2023 15:56:40 UTC (5,363 KB)"
"51","Election Manipulation in Social Networks with Single-Peaked Agents","Vincenzo Auletta, Francesco Carbone, Diodato Ferraioli","Computer Science and Game Theory (cs.GT)","Abstract:Several elections run in the last years have been characterized by attempts to manipulate the result of the election through the diffusion of fake or malicious news over social networks. This problem has been recognized as a critical issue for the robustness of our democracy. Analyzing and understanding how such manipulations may occur is crucial to the design of effective countermeasures to these practices.
Many studies have observed that, in general, to design an optimal manipulation is usually a computationally hard task. Nevertheless, literature on bribery in voting and election manipulation has frequently observed that most hardness results melt down when one focuses on the setting of (nearly) single-peaked agents, i.e., when each voter has a preferred candidate (usually, the one closer to her own belief) and preferences of remaining candidates are inversely proportional to the distance between the candidate position and the voter's belief. Unfortunately, no such analysis has been done for election manipulations run in social networks.
In this work, we try to close this gap: specifically, we consider a setting for election manipulation that naturally raises (nearly) single-peaked preferences, and we evaluate the complexity of election manipulation problem in this setting: while most of the hardness and approximation results still hold, we will show that single-peaked preferences allow to design simple, efficient and effective heuristics for election manipulation.","Mon, 21 Aug 2023 16:44:50 UTC (12,382 KB)"
"52","Vulnerability of democratic electoral systems","Tomasz Raducha, Jarosław Klamut, Roger Cremades, Paul Bouman, Mateusz Wiliński","Physics and Society (physics.soc-ph)","Abstract:The two most common types of electoral systems (ES) used in electing national legislatures are proportional representation and plurality voting. When they are evaluated, most often the arguments come from social choice theory and political sciences. The former overall uses an axiomatic approach including a list of mathematical criteria a system should fulfill. The latter predominantly focuses on the trade-off between proportionality of apportionment and governability. However, there is no consensus on the best ES, nor on the set of indexes and measures that would be the most important in such assessment. Moreover, the ongoing debate about the fairness of national elections neglects the study of their vulnerabilities. Here we address this research gap with a framework that can measure electoral systems' vulnerability to different means of influence. Using in silico analysis we show that plurality voting systems are less stable than proportional representation. They are also more susceptible to political agitators and media propaganda. A review of real-world ES reveals possible improvements in their design leading to lower susceptibility. Additionally, our simulation framework allows computation of popular indexes, as the Gallagher index or the effective number of parties, in different scenarios. Our work provides a new tool for dealing with modern threats to democracy that could destabilize voting processes. Furthermore, our results add an important argument in a long-standing discussion on evaluation of ES.","Sat, 19 Aug 2023 16:16:52 UTC (8,321 KB)"
"53","Generative AI trial for nonviolent communication mediation","Takeshi Kato","Artificial Intelligence (cs.AI)","Abstract:Aiming for a mixbiotic society that combines freedom and solidarity among people with diverse values, I focused on nonviolent communication (NVC) that enables compassionate giving in various situations of social division and conflict, and tried a generative AI for it. Specifically, ChatGPT was used in place of the traditional certified trainer to test the possibility of mediating (modifying) input sentences in four processes: observation, feelings, needs, and requests. The results indicate that there is potential for the application of generative AI, although not yet at a practical level. Suggested improvement guidelines included adding model responses, relearning revised responses, specifying appropriate terminology for each process, and re-asking for required information. The use of generative AI will be useful initially to assist certified trainers, to prepare for and review events and workshops, and in the future to support consensus building and cooperative behavior in digital democracy, platform cooperatives, and cyber-human social co-operating systems. It is hoped that the widespread use of NVC mediation using generative AI will lead to the early realization of a mixbiotic society.","Mon, 7 Aug 2023 06:19:29 UTC (299 KB)"
"54","As Time Goes By: Adding a Temporal Dimension Towards Resolving Delegations in Liquid Democracy","Evangelos Markakis, Georgios Papasotiropoulos","Computer Science and Game Theory (cs.GT)","Abstract:In recent years, the study of various models and questions related to Liquid Democracy has been of growing interest among the community of Computational Social Choice. A concern that has been raised, is that current academic literature focuses solely on static inputs, concealing a key characteristic of Liquid Democracy: the right for a voter to change her mind as time goes by, regarding her options of whether to vote herself or delegate her vote to other participants, till the final voting deadline. In real life, a period of extended deliberation preceding the election-day motivates voters to adapt their behaviour over time, either based on observations of the remaining electorate or on information acquired for the topic at hand. By adding a temporal dimension to Liquid Democracy, such adaptations can increase the number of possible delegation paths and reduce the loss of votes due to delegation cycles or delegating paths towards abstaining agents, ultimately enhancing participation. Our work takes a first step to integrate a time horizon into decision-making problems in Liquid Democracy systems. Our approach, via a computational complexity analysis, exploits concepts and tools from temporal graph theory which turn out to be convenient for our framework.","Mon, 24 Jul 2023 15:46:45 UTC (241 KB)"
